nom;commune1;insee1;commune2;insee2;reseau;financementac;typeamenagement;typeamenagement2;positionnement;senscirculation;environnement;localisation;typologiepiste;revetementpiste;domanialite;reglementation;zonecirculationapaisee;anneelivraison;longueur;observation;gid
Place Prainet;Décines-Charpieu;69275;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2019;88,24;Arrêté n°19-091 du 20/02/2019;6240
Chemin du Bruley;Dardilly;69072;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;148,61;;1555
Rue du Docteur Reure;Saint-Genis-Laval;69204;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2015;128,09;Zone de rencontre;2547
Rue François Truffaut;Saint-Priest;69290;;;Réseau de desserte;PPI DGEEP VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2013;238,56;Arrêté n°2020-1041 le 11/01/21;1642
Rue Professeur René Guillet;Lyon 3e Arrondissement;69383;;;Réseau de desserte;PPI (DMOU);Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2014;220,88;Arrêté N°2010RP25658 du 27/04/2011;1580
Rue Pauline Kergomard;Lyon 7e Arrondissement;69387;;;Réseau de desserte;PPI (DMOU);Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;;Métropole;Contresens (sens réservé);Zone de rencontre;2019;80,52;;4754
Ile de la Chèvre;Solaize;69296;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;;;Métropole;Voie verte;;;368,33;;5932
Avenue Général Eisenhower;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2021;246,43;Arrêté n°2021RP39861 et 2021RP39862 le 19/10/21;6258
Avenue Antoine de Saint-Exupéry;Villeurbanne;69266;;;Réseau secondaire;PPI DGEEP VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2017;85,73;;3471
Avenue des Frères Lumière;Genay;69278;;;Réseau de desserte;PPI DGEEP VTP;Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;;2019;680,28;Arrêté n°159/2019 du 11/09/2019;4901
Rue Honoré Pététin;Givors;69091;;;Réseau de desserte;PPI (DMOU);Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2019;63,31;;5467
Avenue de Poumeyrol;Caluire-et-Cuire;69034;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo obligatoire;;2010;200,25;;702
Boulevard de l'Ouest;Sathonay-Camp;69292;;;Réseau secondaire;PPI (DMOU);Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2012;558,08;;1709
Rue Berthelot;Villeurbanne;69266;;;Réseau de desserte;PPI (DMOU);Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2019;91,21;;5404
Avenue Edouard Herriot;Bron;69029;;;Réseau secondaire;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo obligatoire;;;293,80;;1879
Rue Ferrachat;Lyon 5e Arrondissement;69385;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Aire Piétonne;2022;35,17;Arrêté n°2021RP40374 le 11/01/22;6569
Anneau Bleu;Meyzieu;69282;;;Réseau de desserte;PPI (DMOU);Voie verte;;Sans objet;Double;Voie de circulation;Sur chaussée;;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;;101,22;;2602
Rue Maréchal Leclerc;Charly;69046;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2015;263,86;Zone de rencontre;2625
Routes d'Ecully et de Verdun;Dardilly;69072;;;Réseau secondaire;PPI (DMOU);Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;Zone 30;2008;194,25;le 05/11/2020 //;6277
Rue Auguste Delage;Chassieu;69271;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Vélo obligatoire;;;537,11;;115
Rue Saint Michel;Lyon 7e Arrondissement;69387;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2021;231,40;Arrêté n°2021RP39277 le 15/07/21;6288
Quai Rambaud;Lyon 2e Arrondissement;69382;;;Réseau secondaire;OR DIEM/STEP;Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;;;Métropole;Voie verte;;;1086,98;;504
Rue de Cuire;Lyon 4e Arrondissement;69384;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;442,04;;3719
Rue de la République;Meyzieu;69282;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;Zone 30;;207,72;;6253
Rampe Passerelle de la Paix;Lyon 6e Arrondissement;69386;;;Réseau structurant et super structurant;OR DIEM/STEP;Voie verte;;Sans objet;Double;Berges - Chemin de halage;Sans objet;Autre;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Voie verte;;2014;123,76;;2192
Rue Rue Garibaldi, chaussée Est, entre Rue Montgolfier et Rue Tronchet;Lyon 6e Arrondissement;69386;;;Réseau de desserte;;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone de rencontre;2022;213,27;;6757
Avenue de Poumeyrol;Caluire-et-Cuire;69034;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2019;194,01;;6013
Avenue des Taillis;Corbas;69273;;;Réseau de desserte;PPI DGEEP VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2016;249,41;;3214
Rue Pierre-Louis Bernaix;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2016;191,89;;2877
Rue du 24 avril 1915;Meyzieu;69282;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Autre;;2020;341,87;Arrêté n°19-R-1724 le 09/12/19;5926
Rue Boissac;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;163,92;Zone 30;3133
Rue Louis Loucheur;Lyon 9e Arrondissement;69389;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone 30;2017;120,55;;3802
Rue de l'Avenir;Villeurbanne;69266;;;Réseau de desserte;;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2022;158,66;Arrêté 2022P0133-LP du 04/11/2022;6725
Avenue Jean Durand;Grigny;69096;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;;245,76;;162
Avenue Pierre Allard;Bron;69029;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);;;415,75;Sens nord-sud piste sur chaussée, sens sud-nord piste sur trottoir;192
Petite rue Pasteur;Villeurbanne;69266;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2015;122,39;Arrêté n°2018P0240-LP du 12/12/2018;2540
Avenue des Eglantines;Chassieu;69271;;;Réseau de desserte;OR DIEM/STEP;Chaussée à voie centrale banalisée (CVCB);;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2021;296,46;Arrêté n°2021-133 le 08/11/21;6483
Avenue Jean Jaurès;Oullins;69149;;;Réseau structurant et super structurant;OI DIEM/STEP;Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Voie verte;Zone 30;2019;99,96;Arrêté n°PM20-02 le 03/09/20;5366
Place Laurent Bel;Meyzieu;69282;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Voie verte;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Voie verte;;2023;81,99;Arrêté n°23-R-1108 du 12/07/23;4979
Avenue Edouard Payen;Écully;69081;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2008;173,85;Zone de rencontre;2137
Rue de la Chèvre;Saint-Didier-au-Mont-d'Or;69194;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2021;106,35;Arrêté n°2021-3-015 le 19/10/21;6455
Rue Octavie;Villeurbanne;69266;;;Réseau de desserte;PPI (DMOU);Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2020;613,49;;5779
Place Saint Jean;Lyon 5e Arrondissement;69385;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Aire Piétonne;2017;36,16;Arrêté n°2021RP40397 le 11/01/22;6574
Rue Jacques Prévert (est);Givors;69091;;;Réseau de desserte;PPI DGEEP VTP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2011;127,26;;1776
Rue Jean Jaurès;Meyzieu;69282;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;Zone 30;2014;408,32;;2071
Quai Georges Lévy;Givors;69091;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole (ex-RD);Vélo facultatif;;2010;158,25;;622
Rue des Arpinières;Francheville;69089;;;Réseau secondaire;PROX/FIC DGEEP/VTP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2011;364,36;Arrêté N°VOI-2021-166 du 06/09/2022;1636
Rue Anatole France;Décines-Charpieu;69275;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2019;110,87;Arrêté n°19-091 du 20/02/2019;4458
Passage Claude Mussieu;Givors;69091;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone de rencontre;2016;111,50;Zone de rencontre;2205
Rue Thirard;Saint-Fons;69199;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;293,26;Arrêté n°UC 19/043 du 07/06/2019;4842
Rue Pierre Sémard;Oullins;69149;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;95,68;Arrêté n°PM19-16 du 07/06/2019 (Zone 30);5169
Avenue Urbain le Verrier;Saint-Priest;69290;;;Réseau de desserte;PPI DGEEP VTP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Vélo facultatif;;2009;803,94;;603
Cours Suchet;Lyon 2e Arrondissement;69382;;;Réseau de desserte;OR DIEM/STEP;Couloir bus vélo non élargi;Bande Cyclable;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;2018;56,69;Arrêté N°2018RP34816 (sens E-O) et N°2018RP34815 (sens O-E) du 19/07/2018;4087
Rue de Savy;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OI DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;Piste sur chaussée;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Contresens (sens réservé);Zone de rencontre;2014;59,81;Zone de rencontre Sathonay;2224
Rue du 4 Août 1789;Villeurbanne;69266;;;Réseau structurant et super structurant;Sytral;Couloir bus vélo non élargi;Bande Cyclable;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2011;160,36;;814
Allée des Villas;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Voie verte;;Sans objet;Double;Parc;Sur chaussée;;;Métropole;Voie verte;;2009;390,23;;5606
Boulevard Pierre mendès France;Meyzieu;69282;;;Réseau secondaire;OR DIEM/STEP;Piste Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur trottoir;;;Métropole;Vélo facultatif;;;221,50;;657
Rue de la République;Givors;69091;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;191,39;Zone 30;2890
Rue Ornano;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;167,25;;2994
Grande Rue;Vernaison;69260;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2017;213,17;;3640
Chemin du Pérollier;Écully;69081;;;Réseau secondaire;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);;2018;360,16;;4362
Chemin le long de la Rize;Vaulx-en-Velin;69256;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Voie verte;;Sans objet;Double;Parc;Sans objet;;;Métropole;Voie verte;;2017;209,38;;3439
Rue Lefèbvre;Neuville-sur-Saône;69143;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Aire Piétonne;2018;18,10;;3914
Avenue Jacques Brel;Saint-Germain-au-Mont-d'Or;69207;;;Réseau structurant et super structurant;Autre MOA (Etat, Syndicat, ...);Bande Cyclable;;Bilatérale unidirectionnelle;Double;Voie de circulation;Sur chaussée;;;Métropole;Vélo facultatif;;;553,84;;6084
Rue Rambion;Meyzieu;69282;;;Réseau de desserte;PPI DGEEP VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;238,02;;6649
Rue Louis Tourte;Champagne-au-Mont-d'Or;69040;;;Réseau de desserte;PPI (DMOU);Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;259,00;;5719
Boulevard des Expositions;Chassieu;69271;;;Réseau secondaire;PPI DGEEP VTP;Voie verte;;Bilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Autre;Matériaux non liés (sable compacté et stabilisé);Métropole;Voie verte;;2015;713,93;;2498
Rue Louis Blanc;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2020;175,79;;5671
Rue du Repos;Lyon 7e Arrondissement;69387;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2022;320,22;Arrêté n°2021RP39277 le 15/07/21;6306
Pont Galliéni;Lyon 2e Arrondissement;69382;;;Réseau structurant et super structurant;OI DIEM/STEP;Piste Cyclable;;Unilatérale bidirectionnelle;Double;Voie de circulation;Sur trottoir;Piste sur trottoir;Matériaux liés (asphaltes, enrobés, bétons et nouveaux liants);Métropole;Vélo facultatif;;2015;110,52;;2660
Rue Magneval;Lyon 1er Arrondissement;69381;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;216,75;;2985
Place d'Helvétie;Lyon 6e Arrondissement;69386;;;Réseau de desserte;OR DIEM/STEP;Bande Cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2016;108,96;Zone 30;2737
Rue Magenta;Villeurbanne;69266;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;148,70;;5312
Rue Victor Hugo;Neuville-sur-Saône;69143;;;Réseau de desserte;OR DIEM/STEP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2019;262,53;Arrêté Z30 n°8069 du 28/02/2020;4422
Rue du Commandant Israël;Saint-Didier-au-Mont-d'Or;69194;;;Réseau de desserte;PROX/FIC DGEEP/VTP;Double sens cyclable;;Unilatérale unidirectionnelle;Sens Unique;Voie de circulation;Sur chaussée;;;Métropole;Contresens (sens réservé);Zone 30;2014;204,45;;2313
